album,rank,feature,weight
"0,25 mg EP",1,quebonafide,0.4570210157966182
"0,25 mg EP",2,refren quebonafide,0.3417023417361826
"0,25 mg EP",3,zwrotka quebonafide,0.2405611685446218
"0,25 mg EP",4,powiedz tym,0.24045655231930094
"0,25 mg EP",5,di,0.2364937030067767
"0,25 mg EP",6,quebo,0.2339216980694355
"0,25 mg EP",7,nie miałem,0.22725703936157937
"0,25 mg EP",8,quebonafide wszystkie,0.22258390095410419
"0,25 mg EP",9,duszy,0.22150468882747995
"0,25 mg EP",10,wszędzie,0.22112497908743883
"0,25 mg EP",11,śpiewają,0.21413472955545973
"0,25 mg EP",12,vinci,0.19174643395473473
"0,25 mg EP",13,moje,0.1856310980037152
"0,25 mg EP",14,głowa,0.1780282446236313
"0,25 mg EP",15,dosyć,0.17469576774256138
1-800-OŚWIECENIE,1,800,0.43313620036811323
1-800-OŚWIECENIE,2,oświecenie,0.4113764025319631
1-800-OŚWIECENIE,3,800 oświecenie,0.3977638915017737
1-800-OŚWIECENIE,4,prowadzący,0.36349603530487773
1-800-OŚWIECENIE,5,pan,0.2729816328177697
1-800-OŚWIECENIE,6,audycji,0.26739722364585905
1-800-OŚWIECENIE,7,marmur,0.24586815633961984
1-800-OŚWIECENIE,8,rozmowa prowadzący,0.21111121089858945
1-800-OŚWIECENIE,9,prowadzący dzwoniący,0.21111121089858945
1-800-OŚWIECENIE,10,dzwoniący,0.21111121089858945
1-800-OŚWIECENIE,11,wieczór,0.20608242422937906
1-800-OŚWIECENIE,12,rozmowa,0.20201996510322584
1-800-OŚWIECENIE,13,dobry wieczór,0.19549391342004754
1-800-OŚWIECENIE,14,radio marmur,0.19247019278793348
1-800-OŚWIECENIE,15,pana,0.18989843125109365
Café Belga,1,marek fall,0.2972194500963272
Café Belga,2,fall,0.2972194500963272
Café Belga,3,ztm,0.27393737372363386
Café Belga,4,marek,0.2670491216724598
Café Belga,5,dzięki,0.26258015629310216
Café Belga,6,nigdy,0.24317121353534002
Café Belga,7,ztm em,0.2381096349019478
Café Belga,8,mówię,0.2307675371172522
Café Belga,9,hemingway marek,0.22360680551571044
Café Belga,10,końcu,0.2214338238580827
Café Belga,11,możesz,0.21500441731365497
Café Belga,12,ay,0.21485539552304284
Café Belga,13,śpiewa,0.2141944339925142
Café Belga,14,nie no,0.20882161724330742
Café Belga,15,którzy,0.20874787462509894
Europa,1,yeah,0.4602810029648624
Europa,2,europa,0.423173120204161
Europa,3,dziennik pokładowy,0.41269932610003573
Europa,4,pokładowy,0.41269932610003573
Europa,5,dziennik,0.41269932610003573
